neighborhood,avg_price
Downtown/Civic Center,895.76
Castro/Upper Market,767.15
South of Market,505.08
Financial District,445.04
Western Addition,405.71
Pacific Heights,405.57
Russian Hill,403.37
Presidio,346.11
Diamond Heights,321.3
Twin Peaks,292.38
Presidio Heights,292.26
North Beach,287.98
Marina,287.56
Noe Valley,268.79
Inner Sunset,267.79
Haight Ashbury,247.48
Inner Richmond,232.48
Potrero Hill,230.96
Seacliff,222.75
Bernal Heights,212.37
Glen Park,207.69
Mission,192.11
Outer Richmond,182.42
West of Twin Peaks,181.39
Nob Hill,177.19
Outer Sunset,173.44
Chinatown,173.07
Parkside,170.41
Outer Mission,145.0
Ocean View,135.09
Bayview,132.35
Visitacion Valley,130.34
Lakeshore,130.32
Golden Gate Park,116.0
Excelsior,114.43
Crocker Amazon,95.44
