neighborhood,avg_bedrooms,avg_beds
Diamond Heights,2.4,2.9
Haight Ashbury,1.78,2.16
Twin Peaks,1.74,2.29
Parkside,1.7,2.26
Bernal Heights,1.67,2.11
Noe Valley,1.65,1.9
Ocean View,1.65,1.91
Inner Sunset,1.63,2.05
Seacliff,1.63,2.0
Inner Richmond,1.62,2.08
Mission,1.6,1.83
Outer Richmond,1.6,2.06
Presidio Heights,1.59,2.07
Outer Mission,1.58,1.89
Castro/Upper Market,1.57,1.9
Russian Hill,1.56,2.07
Western Addition,1.55,1.86
Glen Park,1.53,2.0
Outer Sunset,1.53,1.95
Bayview,1.53,1.97
Excelsior,1.48,1.71
Potrero Hill,1.46,1.74
Pacific Heights,1.45,1.81
Presidio,1.44,2.11
Marina,1.44,1.86
West of Twin Peaks,1.42,1.88
Lakeshore,1.39,1.64
Visitacion Valley,1.36,1.93
North Beach,1.34,1.78
Crocker Amazon,1.34,1.56
South of Market,1.3,1.54
Nob Hill,1.11,1.48
Financial District,1.03,1.76
Golden Gate Park,1.0,1.0
Chinatown,0.85,1.44
Downtown/Civic Center,0.77,1.6
