neighborhood,total_listings
Downtown/Civic Center,449
Mission,362
Western Addition,343
South of Market,313
Outer Sunset,275
Castro/Upper Market,211
Bernal Heights,189
Nob Hill,177
Noe Valley,163
Marina,161
Haight Ashbury,161
Inner Richmond,149
Outer Richmond,142
Excelsior,130
Pacific Heights,124
Russian Hill,122
Inner Sunset,119
Potrero Hill,112
Parkside,109
Bayview,105
North Beach,104
Outer Mission,104
Financial District,79
West of Twin Peaks,77
Ocean View,74
Chinatown,59
Visitacion Valley,44
Lakeshore,44
Twin Peaks,42
Crocker Amazon,41
Glen Park,32
Presidio Heights,27
Diamond Heights,10
Presidio,9
Seacliff,8
Golden Gate Park,3
